id,user_id,order_date,status,last_update_ts
1,1,2018-01-01,returned,2025-09-02 10:21:41.640000-04:00
2,3,2018-01-02,completed,2025-09-02 10:21:41.640000-04:00
3,94,2018-01-04,completed,2025-09-02 10:21:41.640000-04:00
4,50,2018-01-05,completed,2025-09-02 10:21:41.640000-04:00
5,64,2018-01-05,completed,2025-09-02 10:21:41.640000-04:00
6,54,2018-01-07,completed,2025-09-02 10:21:41.640000-04:00
7,88,2018-01-09,completed,2025-09-02 10:21:41.640000-04:00
8,2,2018-01-11,returned,2025-09-02 10:21:41.640000-04:00
9,53,2018-01-12,completed,2025-09-02 10:21:41.640000-04:00
10,7,2018-01-14,completed,2025-09-02 10:21:41.640000-04:00
11,99,2018-01-14,completed,2025-09-02 10:21:41.640000-04:00
12,59,2018-01-15,completed,2025-09-02 10:21:41.640000-04:00
13,84,2018-01-17,completed,2025-09-02 10:21:41.640000-04:00
14,40,2018-01-17,returned,2025-09-02 10:21:41.640000-04:00
15,25,2018-01-17,completed,2025-09-02 10:21:41.640000-04:00
16,39,2018-01-18,completed,2025-09-02 10:21:41.640000-04:00
17,71,2018-01-18,completed,2025-09-02 10:21:41.640000-04:00
18,64,2018-01-20,returned,2025-09-02 10:21:41.640000-04:00
19,54,2018-01-22,completed,2025-09-02 10:21:41.640000-04:00
20,20,2018-01-23,completed,2025-09-02 10:21:41.640000-04:00
21,71,2018-01-23,completed,2025-09-02 10:21:41.640000-04:00
22,86,2018-01-24,completed,2025-09-02 10:21:41.640000-04:00
23,22,2018-01-26,return_pending,2025-09-02 10:21:41.640000-04:00
24,3,2018-01-27,completed,2025-09-02 10:21:41.640000-04:00
25,51,2018-01-28,completed,2025-09-02 10:21:41.640000-04:00
26,32,2018-01-28,completed,2025-09-02 10:21:41.640000-04:00
27,94,2018-01-29,completed,2025-09-02 10:21:41.640000-04:00
28,8,2018-01-29,completed,2025-09-02 10:21:41.640000-04:00
29,57,2018-01-31,completed,2025-09-02 10:21:41.640000-04:00
