30.27041,POINT(30.27041 -97.75046),-97.75046,West & 6th St.,2537,active
30.26452,POINT(30.26452 -97.7712),-97.7712,Barton Springs Pool,2572,active
30.27595,POINT(30.27595 -97.74739),-97.74739,ACC - Rio Grande & 12th,2545,closed
30.2848,POINT(30.2848 -97.72756),-97.72756,Red River & LBJ Library,1004,closed
30.26694,POINT(30.26694 -97.74939),-97.74939,Nueces @ 3rd,1008,moved
30.26751,POINT(30.26751 -97.74802),-97.74802,Republic Square,2500,moved
30.24891,POINT(30.24891 -97.75019),-97.75019,South Congress & Elizabeth,2504,active
30.26461,POINT(30.26461 -97.73049),-97.73049,Waller & 6th St.,2536,closed
30.26217,POINT(30.26217 -97.72743),-97.72743,Plaza Saltillo,2542,active
30.28576,POINT(30.28576 -97.74181),-97.74181,UT West Mall @ Guadalupe,2548,active
30.27336,POINT(30.27336 -97.73805),-97.73805,State Capitol Visitors Garage @ San Jacinto & 12th,2561,active
30.26735,POINT(30.26735 -97.73933),-97.73933,Trinity & 6th Street,2565,active
30.26717,POINT(30.26717 -97.75484),-97.75484,Pfluger Bridge @ W 2nd Street,2566,active
30.26854,POINT(30.26854 -97.73646),-97.73646,Red River & 8th Street,2571,active
30.25802,POINT(30.25802 -97.7391),-97.7391,Rainey @ River St,2576,closed
30.25579,POINT(30.25579 -97.73982),-97.73982,Rainey St @ Cummings,2707,active
30.26911,POINT(30.26911 -97.7462),-97.7462,Guadalupe & 6th,3294,active
30.27466,POINT(30.27466 -97.77028),-97.77028,MoPac Pedestrian Bridge @ Veterans Drive,3377,active
30.25839,POINT(30.25839 -97.74592),-97.74592,South Congress & Barton Springs at the Austin American-Statesman,3513,active
30.26697,POINT(30.26697 -97.74929),-97.74929,Nueces & 3rd,3621,active
30.26332,POINT(30.26332 -97.74508),-97.74508,Congress & Cesar Chavez,3684,active
30.27217,POINT(30.27217 -97.75246),-97.75246,Henderson & 9th,3685,active
30.26406,POINT(30.26406 -97.76385),-97.76385,Sterzing at Barton Springs,3686,active
30.27907,POINT(30.27907 -97.73715),-97.73715,State Parking Garage @ Brazos & 18th,1005,closed
30.25103,POINT(30.25103 -97.74926),-97.74926,South Congress & James,2503,active
30.2659,POINT(30.2659 -97.76822),-97.76822,Zilker Park,2574,active
30.26304,POINT(30.26304 -97.75824),-97.75824,Toomey Rd @ South Lamar,2712,closed
30.26774,POINT(30.26774 -97.74692),-97.74692,Republic Square @ Guadalupe & 4th St.,2550,moved
30.26912,POINT(30.26912 -97.73986),-97.73986,San Jacinto & 8th Street,2562,active
